id_achat,id_client,date_achat,montant,produit
1,1,2025-05-06 17:51:28,387.02,Mouse
2,1,2025-09-04 03:34:16,256.42,Mouse
3,1,2025-06-10 19:59:21,483.47,Headphones
4,1,2025-01-22 14:50:28,402.62,Tablet
5,1,2025-05-17 04:08:08,437.77,Laptop
6,1,2025-03-15 10:23:04,324.18,Keyboard
7,1,2025-11-27 18:52:58,281.72,Phone
8,1,2025-08-20 19:11:13,358.59,Speaker
9,1,2025-10-26 17:47:30,427.07,Monitor
10,1,2025-08-01 19:33:36,51.1,Tablet
11,1,2025-09-15 01:41:47,143.67,Speaker
12,1,2025-04-02 14:57:12,82.2,Mouse
13,1,2025-11-15 08:36:21,54.94,Headphones
14,1,2025-12-23 06:10:21,410.18,Keyboard
15,1,2025-12-11 12:51:45,465.93,Mouse
16,2,2025-10-07 10:36:44,204.26,Keyboard
17,2,2025-08-18 01:18:30,125.53,Phone
18,3,2025-03-29 10:21:07,120.02,Keyboard
19,3,2025-03-14 15:00:55,466.1,Keyboard
20,3,2025-05-12 02:20:54,397.78,Tablet
21,3,2025-02-25 07:54:08,28.77,Webcam
22,3,2025-08-02 04:49:34,351.08,Tablet
23,3,2025-12-30 05:49:22,381.83,Webcam
24,3,2025-02-02 21:39:13,229.81,Laptop
25,3,2025-03-06 23:24:12,453.87,Laptop
26,3,2025-05-26 17:04:51,135.4,Tablet
27,3,2025-02-13 18:49:37,278.91,Charger
28,3,2025-12-03 06:07:12,268.61,Phone
29,3,2025-12-24 09:24:25,390.32,Headphones
30,4,2025-09-16 17:35:32,69.71,Headphones
31,4,2025-04-03 02:57:13,215.71,Charger
32,4,2025-03-20 02:27:36,233.99,Phone
33,4,2026-01-16 05:14:27,419.98,Webcam
34,4,2025-04-14 12:56:38,302.4,Laptop
35,4,2025-12-21 06:10:57,319.66,Charger
36,4,2025-10-28 09:47:39,128.55,Tablet
37,4,2025-01-29 11:09:57,152.72,Laptop
38,4,2025-12-05 20:09:16,311.26,Headphones
39,4,2025-12-30 04:52:33,289.63,Tablet
40,5,2025-03-05 10:29:37,337.43,Speaker
41,5,2025-12-31 12:38:56,487.58,Phone
42,5,2025-01-28 18:45:44,477.17,Speaker
43,5,2025-12-02 03:38:10,258.59,Speaker
44,5,2025-11-27 06:44:13,281.53,Mouse
45,5,2025-04-05 15:14:53,437.93,Laptop
46,5,2025-02-06 11:09:58,321.48,Keyboard
47,5,2025-06-28 13:43:10,134.29,Laptop
48,5,2025-04-02 00:06:56,184.98,Phone
49,5,2025-10-27 21:52:00,178.95,Phone
50,5,2025-08-22 22:21:06,388.04,Keyboard
51,5,2025-03-05 23:58:37,75.37,Keyboard
52,5,2026-01-08 06:37:28,277.55,Tablet
53,5,2025-07-23 10:46:13,416.89,Webcam
54,5,2025-08-18 13:59:17,490.6,Webcam
55,5,2025-07-27 00:33:20,319.55,Tablet
56,5,2025-03-19 22:54:15,40.92,Webcam
57,5,2025-04-06 00:28:40,28.12,Headphones
58,5,2025-12-28 20:32:38,31.47,Headphones
59,5,2025-10-16 20:04:23,444.04,Keyboard
60,5,2025-05-30 07:32:55,467.35,Speaker
61,5,2026-01-17 19:22:53,205.13,Speaker
62,6,2025-06-20 00:34:09,134.12,Headphones
63,6,2025-04-06 06:31:03,150.19,Laptop
64,6,2025-02-21 15:22:41,434.24,Keyboard
65,6,2025-07-23 12:34:56,143.88,Keyboard
66,6,2025-07-12 23:08:41,224.11,Mouse
67,6,2025-07-24 04:34:12,374.22,Mouse
68,6,2025-12-30 09:20:43,176.13,Tablet
69,6,2025-01-25 09:29:00,253.14,Webcam
70,6,2025-06-07 05:06:15,190.0,Speaker
71,6,2025-06-21 19:22:16,140.69,Phone
72,6,2026-01-05 11:23:29,366.27,Phone
73,6,2025-02-25 00:37:39,221.0,Tablet
74,6,2025-05-31 01:05:13,277.28,Keyboard
75,6,2025-05-12 15:29:20,60.27,Keyboard
76,6,2025-02-12 08:07:34,333.85,Monitor
77,6,2025-12-30 18:29:19,228.5,Mouse
78,7,2025-09-14 11:35:06,347.98,Keyboard
79,7,2025-04-13 05:13:57,229.09,Keyboard
80,7,2025-10-02 10:40:59,311.28,Mouse
81,7,2025-09-13 21:50:20,144.53,Laptop
82,7,2025-11-11 05:07:59,46.77,Mouse
83,7,2025-12-05 05:17:58,188.02,Tablet
84,8,2025-01-25 06:53:43,79.96,Charger
85,9,2026-01-06 10:44:35,392.84,Laptop
86,9,2025-10-12 19:36:00,71.85,Headphones
87,9,2025-12-13 00:40:13,391.47,Keyboard
88,9,2025-02-05 01:29:09,187.45,Charger
89,9,2025-11-24 19:24:10,25.87,Tablet
90,9,2025-03-25 05:42:31,342.74,Keyboard
91,9,2025-01-22 21:17:20,192.29,Phone
92,9,2025-07-27 19:10:41,291.22,Speaker
93,9,2025-03-11 16:22:46,189.81,Keyboard
94,9,2025-07-09 23:36:30,328.28,Headphones
95,9,2025-02-02 17:36:31,480.65,Laptop
96,9,2025-08-25 02:48:01,370.48,Webcam
97,9,2025-04-06 02:07:17,263.7,Speaker
98,9,2025-10-16 13:07:41,67.7,Monitor
99,9,2025-05-06 11:28:12,354.98,Headphones
100,9,2025-09-01 21:49:52,498.22,Monitor
101,9,2025-11-15 23:43:31,350.05,Webcam
102,9,2025-06-21 12:35:02,108.09,Tablet
103,9,2025-03-24 05:52:24,427.88,Webcam
104,9,2025-07-27 18:58:56,94.6,Webcam
105,9,2025-03-15 18:08:32,498.66,Keyboard
106,9,2025-11-10 22:32:50,337.24,Phone
107,10,2025-09-20 13:34:45,275.66,Monitor
108,10,2025-06-01 18:02:41,427.17,Tablet
109,10,2025-12-23 02:39:01,398.91,Speaker
110,10,2025-11-02 14:17:11,119.88,Headphones
111,10,2025-01-30 10:40:30,398.11,Headphones
112,10,2025-04-03 23:45:45,397.28,Laptop
113,10,2025-06-15 20:03:38,186.84,Charger
114,10,2025-06-04 17:08:31,190.77,Speaker
115,10,2025-11-22 14:55:55,73.59,Phone
116,10,2025-09-03 12:00:43,42.22,Mouse
117,10,2025-01-29 21:31:04,499.8,Webcam
118,10,2025-01-28 22:19:12,267.59,Mouse
119,10,2025-01-29 21:40:54,413.44,Phone
120,10,2025-07-10 05:38:58,71.41,Keyboard
121,10,2025-10-14 18:13:06,324.75,Webcam
122,10,2025-03-13 04:28:28,238.26,Speaker
123,10,2025-06-17 07:06:03,178.81,Speaker
124,10,2025-08-04 09:50:58,323.5,Tablet
125,11,2025-10-24 19:34:09,483.47,Mouse
126,11,2025-10-10 05:20:53,256.4,Laptop
127,11,2025-03-22 10:58:24,417.38,Speaker
128,11,2025-02-25 01:03:31,84.98,Tablet
129,11,2025-05-26 18:22:00,89.36,Headphones
130,11,2025-04-10 18:53:54,179.55,Speaker
131,11,2025-06-21 18:13:23,448.51,Phone
132,11,2025-02-12 17:03:45,132.8,Speaker
133,11,2026-01-08 02:07:38,144.48,Monitor
134,11,2025-07-08 00:29:06,311.07,Phone
135,11,2025-06-20 00:07:20,256.26,Tablet
136,11,2025-12-13 07:47:07,299.99,Charger
137,11,2025-06-29 06:05:30,85.56,Charger
138,11,2025-11-28 06:37:49,363.11,Charger
139,11,2025-11-10 22:36:47,175.43,Charger
140,11,2025-01-19 18:22:14,30.19,Laptop
141,11,2025-07-12 07:56:31,49.8,Charger
142,11,2025-12-13 20:05:54,139.68,Headphones
143,11,2025-04-23 06:09:25,385.81,Mouse
144,11,2025-05-17 08:26:48,312.87,Laptop
145,11,2025-08-04 14:19:38,254.04,Speaker
146,11,2026-01-03 18:32:24,151.94,Monitor
147,11,2025-09-20 11:30:46,246.64,Mouse
148,11,2025-02-23 16:29:53,155.74,Phone
149,11,2025-07-18 08:59:31,347.42,Tablet
150,12,2025-11-18 20:23:30,213.65,Webcam
151,12,2025-08-16 00:06:26,109.97,Charger
152,12,2025-03-06 10:20:45,80.4,Keyboard
153,12,2025-07-26 09:07:09,369.76,Keyboard
154,12,2025-11-09 11:46:08,487.93,Tablet
155,12,2025-03-12 13:11:09,382.73,Speaker
156,12,2025-09-17 02:43:41,285.21,Keyboard
157,12,2025-10-17 18:21:06,128.45,Phone
158,12,2025-10-08 07:19:02,141.06,Headphones
159,12,2025-05-02 12:59:42,79.03,Laptop
160,12,2025-08-31 23:34:35,152.2,Mouse
161,12,2025-04-20 16:06:41,433.44,Mouse
162,12,2025-04-20 23:55:28,131.65,Tablet
163,12,2025-10-12 23:06:51,408.6,Charger
164,12,2025-05-09 09:45:23,363.35,Headphones
